name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Starship,1.31000e+06,5.000000e-02,-24951415.7882749,144739201.09355447,4521.807409832914,-37.37140714568821,-5.194674655677684,0.0011215382795459574
Sun,1.98841e+30,6.965000e+05,186025.2301818327,-206148.34122073767,4670.57178557384,-0.0007573100699134535,0.009085321754379658,-1.569317104381543e-05
Mercury,3.30200e+23,2.439400e+03,47933721.575732276,15308980.405771099,-3143017.8398268167,-24.51594763857092,48.438114971459335,6.191776283670967
Venus,4.86850e+24,6.051840e+03,-66247670.47165018,-85732910.19691157,2697845.429977965,27.412686773308494,-21.639921764013113,-1.8743535437270404
Earth,5.97219e+24,6.371000e+03,-24951415.7882749,144732201.09355447,4521.807409832914,-29.822407145688206,-5.194674655677684,0.0011215382795459574
Moon,7.34900e+22,1.737530e+03,-24958461.610092096,145112537.41924447,12383.457087448267,-30.854197845084247,-5.261828767439722,-0.09295536473262338
Mars,6.41710e+23,3.389920e+03,-210607473.5169731,132000597.9778359,7959575.770759508,-11.980350753525098,-18.441651041725414,-0.08929858652191473
Jupiter,1.89819e+27,6.991100e+04,-788375990.6245015,-208765961.334989,18506282.113550235,3.1841327380376305,-12.025331449485277,-0.020024741542849667
Saturn,5.68340e+26,5.823200e+04,1053700686.6680769,884525700.384484,-57392331.473711185,-6.732440231520726,7.376018565276473,0.137284621474366
Uranus,8.68130e+25,2.536200e+04,866706948.4693842,2752195903.676221,-1099370.9797960722,-6.543331553267327,1.7276185324925448,0.09126211774564207
Neptune,1.02409e+26,2.462400e+04,4422065422.870158,623993092.9331157,-114144459.99354629,-0.7951936755587699,5.413977417357884,-0.09382116590586959
Ceres,4.13492e+20,3.668169e+02,49217048.202576645,-426279357.7822275,-22038544.60869148,16.928246753211216,0.9043152646336297,-3.094792931420885
Pallas,1.44699e+20,2.584933e+02,-187904190.02293688,-321766079.04993,238448519.78854984,13.156274076938448,-8.956770226893715,5.139242369352836
Juno,3.25437e+19,1.571988e+02,-442561001.9531448,-115984758.46835376,43668138.70381356,0.9296895231231473,-15.256270338196344,3.429806678497039
Vesta,4.74752e+20,3.841045e+02,-222857618.2987747,-233933142.10550362,34221677.176744364,15.653901851683768,-13.930286087608877,-1.4779319372781488
Astraea,2.82141e+18,6.957438e+01,-312906485.0815218,-135469197.649942,28113349.72070694,5.351048888502969,-20.038453999456745,1.1671214824757425
